first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
Isiah,Thomas,DET,1983,82,36:40:00,8.16,17.66,0.27,0.79,4.73,6.45,1.26,2.73,3.99,11.15,2.49,0.4,3.74,3.95,21.32,0.462,0.338,0.733
Julius,Erving,PHI,1983,77,34:50:00,8.81,17.19,0.09,0.27,4.73,6.3,2.51,4.4,6.91,4.01,1.84,1.81,3.01,2.82,22.43,0.512,0.333,0.751
Larry,Bird,BOS,1983,79,38:19:00,9.59,19.52,0.23,0.91,4.73,5.33,2.29,7.78,10.08,6.58,1.82,0.89,2.99,2.49,24.15,0.492,0.25,0.888
Robert,Parish,BOS,1983,80,35:44:00,7.79,14.26,0,0,3.43,4.6,3.04,7.68,10.71,1.74,0.66,1.45,2.3,3.33,19,0.546,0,0.745
Sidney,Moncrief,MIL,1983,79,38:55:00,7.09,14.24,0.06,0.23,6.7,7.9,2.68,3.96,6.68,4.53,1.37,0.34,2.75,2.58,20.94,0.498,0.278,0.848
Bernard,King,NYK,1983,77,34:38:00,10.32,18.06,0,0.05,5.68,7.29,1.6,3.52,5.12,2.13,0.97,0.22,2.56,3.55,26.32,0.572,0,0.779
Andrew,Toney,PHI,1983,78,32:46:00,7.6,14.42,0.15,0.49,5,5.96,0.73,1.74,2.47,4.78,0.9,0.29,3.77,3.21,20.36,0.527,0.316,0.839
Bill,Laimbeer,DET,1983,82,34:55:00,6.74,12.73,0,0.13,3.85,4.45,4.01,8.22,12.23,1.82,0.6,1.02,1.8,3.33,17.34,0.53,0,0.866
Jeff,Ruland,WSB,1983,75,41:05:00,7.99,13.8,0.01,0.09,6.21,8.48,3.53,8.76,12.29,3.95,0.91,0.96,4.57,3.8,22.2,0.579,0.143,0.733
Otis,Birdsong,NJN,1983,69,31:25:00,8.45,16.62,0.07,0.29,2.81,4.62,1.07,1.39,2.46,3.86,1.25,0.25,2.46,2.61,19.78,0.508,0.25,0.608
Kevin,McHale,BOS,1983,82,31:25:00,7.16,12.87,0.01,0.04,4.1,5.35,2.54,4.9,7.44,1.27,0.28,1.54,1.83,2.96,18.43,0.556,0.333,0.765
Kelly,Tripucka,DET,1983,76,32:48:00,7.83,17.05,0.03,0.22,5.61,6.88,1.57,2.46,4.03,3,0.83,0.22,2.5,2.5,21.29,0.459,0.118,0.815
Kareem,Abdul-Jabbar,LAL,1983,80,32:46:00,8.95,15.48,0,0.01,3.56,4.93,2.11,5.23,7.34,2.64,0.69,1.79,2.76,2.64,21.46,0.578,0,0.723
Magic,Johnson,LAL,1983,67,38:18:00,6.58,11.64,0.09,0.43,4.33,5.34,1.48,5.85,7.33,13.06,2.24,0.73,4.57,2.52,17.58,0.565,0.207,0.81
George,Gervin,SAS,1983,76,34:00:00,10.07,20.54,0.13,0.32,5.62,6.67,1.39,2.72,4.12,2.89,1.04,0.62,2.95,2.88,25.88,0.49,0.417,0.842
Alex,English,DEN,1983,82,34:59:00,11.06,20.9,0.01,0.09,4.29,5.21,2.63,3.02,5.66,4.95,1.01,1.16,2.71,3.07,26.43,0.529,0.143,0.824
Adrian,Dantley,UTA,1983,79,37:46:00,10.15,18.2,0.01,0.05,10.29,11.97,2.26,3.45,5.71,3.92,0.77,0.05,3.34,2.53,30.61,0.558,0.25,0.859
Jack,Sikma,SEA,1983,82,36:30:00,7.02,14.09,0,0.02,5.01,5.85,2.74,8.37,11.11,3.99,1.16,1.12,2.88,3.67,19.06,0.499,0,0.856
Kiki,Vandeweghe,DEN,1983,78,35:03:00,11.47,20.55,0.14,0.38,6.33,7.44,1.08,3.71,4.78,3.05,0.68,0.65,2,2.4,29.42,0.558,0.367,0.852
Rickey,Green,UTA,1983,81,34:10:00,5.42,11.16,0.02,0.21,2.37,2.89,0.68,2.19,2.84,9.23,2.65,0.16,2.13,1.91,13.23,0.486,0.118,0.821
Ralph,Sampson,HOU,1983,82,32:50:00,8.73,16.7,0.01,0.05,3.5,5.29,3.57,7.56,11.13,1.99,0.84,2.4,3.59,4.13,20.98,0.523,0.25,0.661
Walter,Davis,PHO,1983,78,32:38:00,8.36,16.33,0.26,1.1,2.99,3.46,0.49,2.1,2.59,5.5,1.37,0.15,2.73,2.59,19.96,0.512,0.233,0.863
Jim,Paxson,POR,1983,81,33:09:00,8.4,16.32,0.21,0.73,4.26,5.06,0.84,1.3,2.14,3.1,1.51,0.12,1.75,2.04,21.26,0.514,0.288,0.841
Mark,Aguirre,DAL,1983,79,36:42:00,11.71,22.34,0.19,0.7,5.89,7.86,2.04,3.9,5.94,4.53,1.04,0.27,3.59,3.11,29.49,0.524,0.273,0.749
Magic,Johnson,LAL,1984,77,36:07:00,6.55,11.68,0.09,0.48,5.08,6.03,1.17,5.01,6.18,12.58,1.49,0.32,3.96,2,18.26,0.561,0.189,0.843
Ralph,Sampson,HOU,1984,82,37:38:00,9.18,18.28,0,0.07,3.7,5.46,2.77,7.63,10.4,2.73,0.99,2.05,3.96,3.73,22.06,0.502,0,0.676
George,Gervin,SAS,1984,72,29:02:00,8.33,16.42,0,0.14,4.5,5.33,1.1,2.15,3.25,2.47,0.92,0.67,2.75,2.89,21.17,0.508,0,0.844
Kareem,Abdul-Jabbar,LAL,1984,79,33:10:00,9.15,15.28,0,0.01,3.66,5,2.06,5.81,7.87,3.13,0.77,2.05,2.51,3.03,21.96,0.599,0,0.732
Adrian,Dantley,UTA,1984,55,35:50:00,9.31,17.53,0,0,7.96,9.91,2.69,3.18,5.87,3.38,1.04,0.15,3.11,2.42,26.58,0.531,0,0.804
Rolando,Blackman,DAL,1984,80,34:57:00,7.76,15.21,0.06,0.24,4.21,5.06,1.33,2.3,3.63,3.6,0.74,0.2,2,1.14,19.8,0.51,0.263,0.832
Norm,Nixon,LAC,1984,81,35:43:00,7.36,15.81,0.41,1.22,2.1,2.69,0.68,2.01,2.69,8.78,1.17,0.05,3.37,2.16,17.22,0.465,0.333,0.78
Larry,Nance,PHO,1984,61,36:05:00,8.44,14.38,0.02,0.03,2.95,4.16,3.22,5.53,8.79,2.61,1.44,1.7,2.18,3.03,19.85,0.587,0.5,0.709
Hakeem,Olajuwon,HOU,1984,82,35:32:00,8.26,15.34,0,0,4.12,6.72,5.37,6.51,11.88,1.35,1.21,2.68,2.85,4.16,20.63,0.538,0,0.613
Alex,English,DEN,1984,80,36:02:00,11.6,22.34,0.01,0.06,4.76,5.74,2.54,3.09,5.63,4.24,1.25,0.58,3.09,3.18,27.98,0.519,0.2,0.83
Jack,Sikma,SEA,1984,68,35:19:00,6.76,13.85,0.03,0.15,4.93,5.78,2.41,8.22,10.63,4.1,1.22,1.34,2.35,3.51,18.49,0.488,0.2,0.852
Calvin,Natt,DEN,1984,77,33:57:00,8.78,16.1,0,0.04,5.79,7.3,2.65,5.14,7.79,3.01,0.95,0.43,2.42,2.35,23.35,0.545,0,0.794
Moses,Malone,PHI,1984,79,37:25:00,7.62,16.25,0,0.03,9.33,11.46,4.87,8.18,13.05,1.65,0.85,1.56,3.62,2.73,24.57,0.469,0,0.814
Larry,Bird,BOS,1984,80,39:30:00,11.48,22,0.7,1.64,5.04,5.71,2.05,8.48,10.53,6.64,1.58,1.23,3.1,2.6,28.69,0.522,0.427,0.882
Isiah,Thomas,DET,1984,81,38:00:00,7.98,17.41,0.36,1.4,4.93,6.09,1.41,3.05,4.46,13.86,2.28,0.31,3.73,3.54,21.23,0.458,0.257,0.809
Julius,Erving,PHI,1984,78,32:30:00,7.82,15.85,0.04,0.18,4.33,5.68,2.18,3.13,5.31,2.99,1.73,1.4,2.64,2.55,20.01,0.494,0.214,0.763
Michael,Jordan,CHI,1984,82,38:20:00,10.21,19.82,0.11,0.63,7.68,9.1,2.04,4.48,6.51,5.87,2.39,0.84,3.55,3.48,28.21,0.515,0.173,0.845
Bernard,King,NYK,1984,55,37:27:00,12.56,23.69,0.02,0.18,7.75,10.04,2.07,3.69,5.76,3.71,1.24,0.27,3.64,3.47,32.89,0.53,0.1,0.772
Sidney,Moncrief,MIL,1984,73,37:27:00,7.68,15.92,0.12,0.45,6.22,7.51,2.04,3.32,5.36,5.23,1.56,0.53,2.52,2.7,21.71,0.483,0.273,0.828
Terry,Cummings,MIL,1984,79,34:27:00,9.62,19.41,0,0.01,4.34,5.86,3.1,5.97,9.08,2.89,1.51,0.85,2.41,3.34,23.58,0.496,0,0.741
Micheal,Ray Richardson,NJN,1984,82,38:08:00,8.41,17.93,0.35,1.4,2.93,3.82,1.9,3.67,5.57,8.16,2.95,0.27,3.02,3.38,20.11,0.469,0.252,0.767
Dennis,Johnson,BOS,1984,80,37:12:00,6.16,13.33,0.09,0.33,3.26,3.83,1.14,2.83,3.96,6.79,1.25,0.49,2.68,2.8,15.68,0.462,0.269,0.853
Bill,Laimbeer,DET,1984,82,35:01:00,7.27,14.35,0.05,0.22,2.98,3.73,3.6,8.76,12.35,1.88,0.84,0.87,1.59,3.76,17.56,0.506,0.222,0.797
Robert,Parish,BOS,1984,78,36:00:00,6.95,12.81,0,0,3.73,5.01,3.29,7.26,10.55,1.58,0.74,1.27,2.33,2.77,17.63,0.543,0,0.744
Isiah,Thomas,DET,1985,77,36:14:00,7.91,16.21,0.34,1.09,4.74,6,1.09,2.51,3.6,10.78,2.22,0.26,3.75,3.18,20.9,0.488,0.31,0.79
Larry,Bird,BOS,1985,82,37:55:00,9.71,19.59,1,2.37,5.38,6,2.32,7.5,9.82,6.79,2.02,0.62,3.24,2.22,25.79,0.496,0.423,0.896
Moses,Malone,PHI,1985,74,36:34:00,7.72,16.84,0,0.01,8.34,10.59,4.58,7.2,11.78,1.22,0.92,0.96,3.47,2.62,23.77,0.458,0,0.787
Sidney,Moncrief,MIL,1985,73,35:09:00,6.44,13.18,0.45,1.38,6.82,7.95,1.59,2.99,4.58,4.89,1.41,0.25,2.38,2.44,20.15,0.489,0.327,0.859
Julius,Erving,PHI,1985,74,33:25:00,7.04,14.66,0.12,0.43,3.91,4.97,2.28,2.72,5,3.35,1.54,1.11,2.89,2.65,18.11,0.48,0.281,0.785
Buck,Williams,NJN,1985,81,37:23:00,6.06,11.62,0,0.04,3.7,5.48,4.04,8,12.04,1.57,0.9,1.17,2.98,3.58,15.83,0.522,0,0.676
Kevin,McHale,BOS,1985,68,35:15:00,8.25,14.38,0,0,4.79,6.18,2.51,5.59,8.1,2.66,0.43,1.97,2.19,2.82,21.29,0.574,0,0.776
Dominique,Wilkins,ATL,1985,78,39:05:00,11.38,24.32,0.17,0.9,7.4,9.04,3.28,4.64,7.92,2.64,1.77,0.64,3.23,2.18,30.33,0.468,0.186,0.818
Maurice,Cheeks,PHI,1985,82,39:43:00,5.98,11.13,0.05,0.2,3.44,4.09,0.67,2.2,2.87,9.18,2.49,0.33,2.88,1.95,15.44,0.537,0.25,0.842
Jeff,Malone,WSB,1985,80,37:25:00,9.19,19.03,0.04,0.21,4.03,4.64,0.83,2.78,3.6,2.39,0.88,0.15,2.1,2.25,22.44,0.483,0.176,0.868
Robert,Parish,BOS,1985,81,31:41:00,6.54,11.93,0,0,3.02,4.14,3.04,6.47,9.51,1.79,0.8,1.43,2.31,2.65,16.11,0.549,0,0.731
Kareem,Abdul-Jabbar,LAL,1985,79,33:16:00,9.56,16.94,0,0.03,4.25,5.56,1.68,4.38,6.06,3.54,0.85,1.65,2.57,3.14,23.37,0.564,0,0.765
James,Worthy,LAL,1985,75,32:43:00,8.39,14.48,0,0.17,3.23,4.19,1.81,3.35,5.16,2.68,1.09,1.03,2,2.6,20,0.579,0,0.771
Magic,Johnson,LAL,1985,72,35:53:00,6.71,12.75,0.14,0.58,5.25,6.03,1.18,4.75,5.93,12.6,1.57,0.22,3.79,1.85,18.81,0.526,0.238,0.871
Ralph,Sampson,HOU,1985,79,36:15:00,7.9,16.2,0.03,0.19,3.05,4.76,3.27,7.86,11.13,3.58,1.25,1.63,3.61,3.9,18.87,0.488,0.133,0.641
Alvin,Robertson,SAS,1985,82,35:05:00,6.85,13.33,0.1,0.35,3.17,3.99,2.24,4.05,6.29,5.46,3.66,0.49,3.12,3.61,16.98,0.514,0.276,0.795
Rolando,Blackman,DAL,1985,82,33:59:00,8.24,16.06,0.05,0.35,4.93,5.89,1.07,2.45,3.52,3.3,0.96,0.3,2.3,1.68,21.46,0.513,0.138,0.836
Adrian,Dantley,UTA,1985,76,36:00:00,10.75,19.11,0.01,0.14,8.32,10.5,2.34,2.86,5.2,3.47,0.84,0.05,3.03,2.7,29.83,0.563,0.091,0.792
Alex,English,DEN,1985,81,37:20:00,11.74,23.31,0.01,0.06,6.31,7.32,2.37,2.63,5,3.95,0.89,0.36,3.06,2.9,29.8,0.504,0.2,0.862
Clyde,Drexler,POR,1985,75,34:20:00,7.23,15.23,0.16,0.8,3.91,5.08,2.28,3.33,5.61,8,2.64,0.61,3.81,3.6,18.52,0.475,0.2,0.769
Hakeem,Olajuwon,HOU,1985,68,36:16:00,9.19,17.47,0,0,5.1,7.9,4.9,6.59,11.49,2.01,1.99,3.35,2.88,4,23.49,0.526,0,0.646
Artis,Gilmore,SAS,1985,71,33:43:00,5.96,9.63,0,0.01,4.76,6.77,2.34,6.11,8.45,1.44,0.55,1.52,2.62,3.37,16.68,0.618,0,0.703
Marques,Johnson,LAC,1985,75,34:44:00,8.17,16.01,0.01,0.2,3.97,5.23,2.08,3.47,5.55,3.77,1.41,0.67,2.44,2.85,20.33,0.51,0.067,0.76
Magic,Johnson,LAL,1986,80,36:18:00,8.54,16.33,0.1,0.49,6.69,7.89,1.53,4.78,6.3,12.21,1.73,0.45,3.75,2.1,23.86,0.523,0.205,0.848
Tom,Chambers,SEA,1986,82,36:48:00,8.05,17.63,0.66,1.76,6.52,7.68,1.99,4.66,6.65,2.99,0.99,0.61,3.27,3.74,23.28,0.456,0.375,0.849
James,Worthy,LAL,1986,82,34:22:00,7.94,14.72,0,0.16,3.56,4.74,1.93,3.76,5.68,2.78,1.32,1.01,2.05,2.51,19.44,0.539,0,0.751
Hakeem,Olajuwon,HOU,1986,75,36:48:00,9.03,17.76,0.01,0.07,5.33,7.6,4.2,7.24,11.44,2.93,1.87,3.36,3.04,3.92,23.4,0.508,0.2,0.702
Alvin,Robertson,SAS,1986,81,33:17:00,7.28,15.6,0.16,0.59,3.01,4,2.3,2.94,5.23,5.2,3.21,0.43,3,3.26,17.74,0.467,0.271,0.753
